barcode,style,tops_fit,bottoms_fit,sleeve_type,pattern,more_attributes,brand,image_path
49826101010301,casual,,straight-fit-bottoms,,plain,,Scotch & Soda,images\498261_01_63a07aefe1056c001230c832.jpg
49530801030101,casual,oversized-tops,,straight-sleeve,marled,,ESPRIT,images\495308_01_62abe1ab26f484001143645c.jpg
49434001080101,business,regular-fit-tops,,straight-sleeve,,buttons,Doris Streich,images\494340_01_62c0a3c5c53df400111c1868.jpg
48533403050101,casual,,slim-bottoms,,plain,,TONI,images\485334_03_62151c719624300011556ffd.jpg
50287901030101,casual,,straight-fit-bottoms,,leaf,,Cambio,images\502879_01_6346e5a96926b20011a479ae.jpg
47752901050101,casual,regular-fit-tops,,straight-sleeve,animal-print,buttons,GERRY WEBER,images\477529_01_618d1c540ab6ae0014b17016.jpg
50127401020101,modest,oversized-tops,,dolman-sleeve,stripes,,Liu Jo White Label,images\501274_01_8055130577764---WA3124MS64J04869-I-AF-N-R-1-N.jpg
44695806020101,casual,,straight-fit-bottoms,,marled,,BRAX,images\446958_06_6268e2ac6edf2d001563fcf6.jpg
48760201040101,casual,,,,,,Marc Cain,images\487602_01_62e69d13ceffde001136ee93.jpg
49195501030101,business,,straight-fit-bottoms,,vertical-stripes,drawstring,Xandres,images\491955_01_14097-01-0184_01.jpg
51292101080101,casual,oversized-tops,,straight-sleeve,animal-print; animals,,Verpass,images\512921_01_3007-62-1.jpg
49929201040101,casual,,flare-bottoms,,animals,,Joseph Ribkoff,images\499292_01_638fdba96b8d150011397031.jpg
48792701050101,casual,regular-fit-tops,,straight-sleeve,,drawstring,Rabe,images\487927_01_620f7e5834547f00133ac787.jpg
49196601020101,casual,bodycon-tops,,straight-sleeve,,,Xandres,images\491966_01_28671-01-0040_01.jpg
49075301070101,casual,,,,plain,,Part Two,images\490753_01_30306469_171452_400.jpg
48378001080101,casual,,,straight-sleeve,dots,,Verpass,images\483780_01_3749-48-1.jpg
49930901050101,feminine,,,,plain,pleated,Joseph Ribkoff,images\499309_01_638fdc0a710c400011f9d430.jpg
48363301050101,casual,oversized-tops,,straight-sleeve,,keyhole,Xandres Gold,images\483633_01_89914-01-8525_01.jpg
49840601030101,feminine,regular-fit-tops,,,vertical-stripes,ruffled,Rosemunde,images\498406_01_5205-337-1.jpg
50793401020101,casual,regular-fit-tops,,puff-sleeve,,,Geisha,images\507934_01_6488eab56b71450011ac6ef6.jpg
48614701040101,feminine,,,,abstract,pleated,River Woods,images\486147_01_rl22s-c6002_f-000_s20203_d10.jpg
49113401030101,casual,regular-fit-tops,,,shapes; text-print,embroidered,Liu Jo White Label,images\491134_01_8057590424855---WF2375JS923R9555-S-AF-N-N-03-N.jpg
48436501020101,casual,regular-fit-tops,,,animals; text-print,embroidered,ESPRIT,images\484365_01_6248b2f03af5b800110fd8bb.jpg
49777503050101,casual,,slim-bottoms,,plain,,GERRY WEBER EDITION,images\497775_03_64519c9f27e8860011614a7d.jpg
49637401080101,casual,,straight-fit-bottoms,,,drawstring,Via Appia Due,images\496374_01_62de79732b986300112c588d.jpg
47754402050101,casual,regular-fit-tops,,straight-sleeve,plain,cargo,GERRY WEBER,images\477544_02_618d1c540ab6ae0014b17017.jpg
48961001020101,casual,regular-fit-tops,,,marled; shapes; text-print,embroidered,Scotch & Soda,images\489610_01_Large-22156475-FNT.jpg
49018901030101,casual,regular-fit-tops,,straight-sleeve,,buttons,CKS,images\490189_01_paper-cardigan.jpg
49112501040101,casual,,,,plain,,Liu Jo White Label,images\491125_01_8057590677749---WF2542E0392X0401-I-AO-N-B-5-N.jpg
49976102020101,feminine,regular-fit-tops,,straight-sleeve,,,ONLY,images\499761_02_6297f66fb4896b0014536d83.jpg
51271601040101,casual,,,dolman-sleeve,floral,buttons,Caroline Biss,images\512716_01_04-23b.jpg
48045401040101,casual,,,,horizontal-stripes,pleated,Gigue,images\480454_01_21-222-TIFF2-331_B.jpg
49246501030101,casual,,,,dots,,King Louie,images\492465_01_07584292_2.jpg
49037901410101,feminine,,,straight-sleeve,marled,,Yoek,images\490379_01_1307547-270-MF_9.jpg
49809401040101,casual,oversized-tops,,dolman-sleeve,stripes,,Terre Bleue,images\498094_01_11-223-074-325_B.jpg
50388301080101,casual,fitted-tops,,straight-sleeve,,buttons,Verpass,images\503883_01_5915-1.jpg
48786001050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,Rabe,images\487860_01_620f7dd334547f00133ac69b.jpg
50339201040101,casual,,,,leaf,belted,Caroline Biss,images\503392_01_03-27b.jpg
49109301040101,feminine,regular-fit-tops,,straight-sleeve,geometric; shapes; tartan,buttons,Caroline Biss,images\491093_01_4648-29.jpg
30652201020101,casual,fitted-tops,,,vertical-stripes,,Sommermann,images\306522_01_sommermann-t-shirt-wit-500231_705x705_1192921.jpg
48447402020101,casual,,straight-fit-bottoms,,plain,,Y.A.S,images\484474_02_61b69eddf729ce00138d6bac.jpg
51169801020101,business,oversized-tops,,puff-sleeve,plain,,Xandres,images\511698_01_28842-01-6450_01.jpg
48430801030101,casual,regular-fit-tops,,straight-sleeve,,,ESPRIT,images\484308_01_62280e77bcd3d10011e8d4ab.jpg
49528601080101,feminine,,,straight-sleeve,zebra,,Frapp,images\495286_01_62975f005b035100113ec285.jpg
48337601030101,sophisticated,,,straight-sleeve,plain,belted,Xandres,images\483376_01_60792-01-1420_09.jpg
48812601050101,feminine,oversized-tops,,straight-sleeve,,,Rabe,images\488126_01_61e593f7122d630011da5b20.jpg
49081501040101,casual,oversized-tops,,dolman-sleeve,,buttons,Terre Bleue,images\490815_01_11-422-026-851_B.jpg
48790802050101,casual,regular-fit-tops,,straight-sleeve,quilted,,GERRY WEBER EDITION,images\487908_02_6273160040617c0012b946d6.jpg
50424001030101,casual,,,straight-sleeve,horizontal-stripes,buttons,Tommy Hilfiger,images\504240_01_WW0WW38639_03M.png
50626901020101,feminine,regular-fit-tops,,,floral,,ESPRIT,images\506269_01_642cdb90c4d75e0010591f1e.jpg
49195101030101,casual,regular-fit-tops,,straight-sleeve,plain,buttons,Xandres,images\491951_01_60848-02-0590_01.jpg
49928901060101,casual,,,,,,Joseph Ribkoff,images\499289_01_638fdb7e6b8d150011397025.jpg
51338303020101,casual,,,,plain,,Her.,images\513383_03_223-mies-111-0695-223-mies-111-0695-image_1-223-mies-111-0695_1.jpg
48414801040101,casual,,,,,,Caroline Biss,images\484148_01_61606.jpg
50883801040101,business,regular-fit-tops,,straight-sleeve,marled,cargo,Street One,images\508838_01_64ed6abc09ccc40011adc7b4.jpg
46313701050101,casual,,,,,,Mayerline,images\463137_01_mayerline-tetra-bloesje-met-kapmouwtjes_S2022ANKA3775780-A.jpg
47787901020101,casual,,slim-bottoms,,plain,,MAC,images\477879_01_61bc5ceabded9900116a25fd.jpg
50730001040101,feminine,regular-fit-tops,,straight-sleeve,fruits,,Fabienne Chapot,images\507300_01_63c1a2cbccca310010195428.jpg
48745303030101,casual,,,,bleached,,RAPHAELA by BRAX,images\487453_03_626a320fd8be0d00112d0f38.jpg
48387701410101,casual,regular-fit-tops,,dolman-sleeve,dots,,Yoek,images\483877_01_9814506-230-MC.jpg
51265101040101,casual,regular-fit-tops,,straight-sleeve,plain,,Caroline Biss,images\512651_01_02-07.jpg
48040201050101,feminine,,,puff-sleeve,graph-check,buttons,Gigue,images\480402_01_A.jpg
48949501100201,casual,,straight-fit-bottoms,,plain,drawstring,Street One,images\489495_01_62bc9255450de900135b7fac.jpg
48528401080101,feminine,,,straight-sleeve,,ruffled,Tom Tailor,images\485284_01_620714464c65af001242eb65.jpg
49010801410101,casual,bodycon-tops,,straight-sleeve,vertical-stripes,,ONLY Carmakoma,images\490108_01_61e68dee7416530016939c80.jpg
50259901030101,casual,,straight-fit-bottoms,,plain,,Xandres,images\502599_01_14169-01-6130_01.jpg
50332301040101,casual,oversized-tops,,dolman-sleeve,,,Caroline Biss,images\503323_01_01-06c.jpg
49441802020101,casual,regular-fit-tops,,straight-sleeve,chevron,buttons,Hampton Bays,images\494418_02_WI22-beeldenklanten-campagne-zndrlogo.jpg
50667501050101,casual,,slim-bottoms,,floral; leaf,,Marc Cain,images\506675_01_64eb69948cca3000106d47d0.jpg
49592802040101,feminine,,oversized-bottoms,,,,Betty Barclay,images\495928_02_6348de2cb44abe0011c09734.jpg
49745201050101,casual,oversized-tops,,straight-sleeve,plain,,Mayerline,images\497452_01_mayerline-loose-fit-tuniekblouse-met-vintage-finish_S2023JEMIR7020080-1.jpg
49968401020101,feminine,,,,plain,belted; buttons,ONLY,images\499684_01_632291ec335cb30012ee0a08.jpg
48348201030101,feminine,,straight-fit-bottoms,,plain,,Xandres,images\483482_01_60768-01-0940_01.jpg
50322001020101,casual,regular-fit-tops,,,quilted,,Y.A.S,images\503220_01_6340dd8b9821710010be8211.jpg
49827102170101,casual,regular-fit-tops,straight-fit-bottoms,straight-sleeve,,,Scotch & Soda,images\498271_02_63a07756a3acff0010c22f0c.jpg
50767401020101,feminine,,,,plain,,Guess,images\507674_01_W3YD63_WFKY2_A604_1.jpg
49861802020101,casual,regular-fit-tops,,,marled; text-print; varsity-striped,,Tommy Hilfiger,images\498618_02_Schermafbeelding-2022-12-26-153240.jpg
50927201030101,casual,regular-fit-tops,,straight-sleeve,leaf,,BRAX,images\509272_01_64d2a8724c6f9a00114673c9.jpg
48225501020101,casual,regular-fit-tops,,straight-sleeve,marled,,Superdry,images\482255_01_upload9223368955666040249.jpg
47783801040101,casual,regular-fit-tops,,straight-sleeve,,,Betty Barclay,images\477838_01_616ee862c795fe0011ca7321.jpg
51567201050101,minimalism,,,straight-sleeve,plain,,GERRY WEBER,images\515672_01_64f7f209e8d5840011433676.jpg
49032503020101,casual,regular-fit-tops,,straight-sleeve,plain,drawstring,Lyle & Scott,images\490325_03_KNW1702V_Z865_1.jpg
49913701050101,casual,regular-fit-tops,,dolman-sleeve,vertical-stripes,,Part Two,images\499137_01_30304923_301840_500.jpg
50323301020101,casual,oversized-tops,,straight-sleeve,horizontal-stripes,,Y.A.S,images\503233_01_633fb27d8d4c1b001102f9be.jpg
50964501050101,casual,regular-fit-tops,,straight-sleeve,camo,,Rabe,images\509645_01_63dcdd9bf74499001070be3b.jpg
50565901040101,casual,regular-fit-tops,,flutter-sleeve,plain,ruffled,Caroline Biss,images\505659_01_3656-61.jpg
49086901040101,casual,,,straight-sleeve,,,Terre Bleue,images\490869_01_11-422-439-601_B.jpg
50756601040101,feminine,,,,plain,,CKS,images\507566_01_skipper-midirok.jpg
48075902050101,feminine,,slim-bottoms,,plain,,Mayerline,images\480759_02_mayerline-chino-in-gekleurd-stretchdenim_S2022MIRTE5772093-1.jpg
50415201050101,casual,oversized-tops,,dolman-sleeve,plain,,Joseph Ribkoff,images\504152_01_232908-4025-2.jpg
50974701040101,casual,regular-fit-tops,,straight-sleeve,leaf; zebra,,Senso,images\509747_01_459734-1.jpg
49411202030101,casual,,skinny-bottoms,,,,RAPHAELA by BRAX,images\494112_02_632406a74727f60012069fca.jpg
47798801050101,casual,regular-fit-tops,,,floral; leaf; natural,,Betty Barclay,images\477988_01_616ed3bc8b73ea00119f4cab.jpg
48798801040101,casual,regular-fit-tops,,straight-sleeve,abstract,,LeComte,images\487988_01_620f998f164ae800111f7199.jpg
48285201020101,casual,oversized-tops,slim-bottoms,flare-sleeve,animal-print; retro,buttons,Second Female,images\482852_01_55767-5087_11_700x.jpg
49593301040101,feminine,,slim-bottoms,,plain,,Betty Barclay,images\495933_01_6348de0c3b4fd200111c9fc2.jpg
47761801050101,casual,regular-fit-tops,,,brush-stroke,,GERRY WEBER CASUAL,images\477618_01_618d14a90ab6ae0014b16c1e.jpg
51308302020101,business,oversized-tops,,straight-sleeve,stripes; vertical-stripes,cargo,VERO MODA,images\513083_02_637de54ce738e1001191483f.jpg
47046303120101,casual,oversized-tops,,puff-sleeve,,buttons,ONLY Carmakoma,images\470463_03_61b3a901eefd3a0011827270.jpg
51237401040101,casual,regular-fit-tops,,straight-sleeve,,buttons,Street One,images\512374_01_64f74406cf8ea000117ce7ba.jpg
48782501050101,casual,,straight-fit-bottoms,,plain,drawstring,GERRY WEBER,images\487825_01_627c43ab865fe100111345a7.jpg
48800601050101,casual,regular-fit-tops,,straight-sleeve,animals; floral; shapes,,GERRY WEBER EDITION,images\488006_01_629fdacf061c460011b7dfa1.jpg
48810501050101,casual,oversized-tops,,straight-sleeve,plain,buttons,Rabe,images\488105_01_63106c5f1661020011778fff.jpg
49947401040101,casual,bodycon-tops,,,plain,,SCHIESSER,images\499474_01_5f05c78177de250011be23bb.jpg
49444602080101,casual,,skinny-bottoms,,,,Verpass,images\494446_02_0235-48-1.jpg
50009401050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,drawstring,Rabe,images\500094_01_627a392f4dfb7d00110c084e.jpg
48352101020101,casual,oversized-tops,,,horizontal-stripes,,Xandres,images\483521_01_28456-01-0046_01.jpg
48495801020101,casual,,slim-bottoms,,plain,,BRAX,images\484958_01_62219c57dda45800119246b5.jpg
43431103050101,feminine,,,straight-sleeve,floral; leaf,,Caroline Biss,images\434311_03_c0056f52bbc14820a1f4db9b6546cb9a_1000x1000.jpg
47835101030101,feminine,,,,plain,ruched,Julia June,images\478351_01_122-bobbie-239-0175-122-bobbie-239-0175-image_2-122-bobbie-239-0175_2.jpg
48637104110101,casual,,slim-bottoms,,vertical-stripes,,Xandres Gold,images\486371_04_ESS015-01-8521_01.jpg
48981001030101,casual,regular-fit-tops,,,quilted,zipper,Creenstone,images\489810_01_CSN0380223_1610_V.jpg
51050901050101,casual,regular-fit-tops,,straight-sleeve,houndstooth,,Rabe,images\510509_01_644b95578d8b310011edef0c.jpg
48491505030101,casual,,slim-bottoms,,,,TONI,images\484915_05_60c9865e13dfdc0013b433a8.jpg
49528301080101,casual,regular-fit-tops,,straight-sleeve,floral,drawstring,Frapp,images\495283_01_62975ede01ca770011bbbad4.jpg
48341601020101,casual,fitted-tops,,,,keyhole,Xandres,images\483416_01_28376-01-1310_01.jpg
51269901040101,feminine,,,,,,Caroline Biss,images\512699_01_05-15b.jpg
49460201030101,casual,,wide-bottoms,,plain,buttons,FAM the label,images\494602_01_JESS_pinstripe-brown.jpg
50128302040101,casual,oversized-tops,,straight-sleeve,dots,,Liu Jo White Label,images\501283_02_8055130440297---WA3512T8876Q9359-I-AR-N-N-2-N.jpg
48174601030101,feminine,,,,abstract; floral,pleated,Street One,images\481746_01_61eb7b54f2beee0015792519.jpg
49107801040101,bohemian,,,,,,Caroline Biss,images\491078_01_4727-79.jpg
50129501020101,casual,regular-fit-tops,,,text-print,,Liu Jo White Label,images\501295_01_8055130406842---WA3418JS923Q9270-I-AF-N-R-1-N.jpg
50067601040101,casual,,slim-bottoms,,bleached,,Marc Cain Pants,images\500676_01_63aafffb78335e0011f44215.jpg
43426804040101,casual,,slim-bottoms,,plain,,Caroline Biss,images\434268_04_cfc47f75a9204b6591e44b17c96c59ce_1000x1000.jpg
48784601050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,Rabe,images\487846_01_620f7e1bb4ce820011595593.jpg
48028201030101,casual,regular-fit-tops,,straight-sleeve,ombre; text-print,,Scotch & Soda,images\480282_01_61eff30ff2beee001581ef62.jpg
50531001030101,feminine,,,straight-sleeve,plain,keyhole,ESPRIT,images\505310_01_63fc28e0e910c20010ccf9b2.jpg
50981301410101,casual,oversized-tops,,dolman-sleeve,leaf,,Yoek,images\509813_01_1924636-240-MC.jpg
49836901040101,feminine,,,,plain,,Gigue,images\498369_01_21-223-TUDORA-620_B.jpg
51106901040101,bohemian,fitted-tops,,straight-sleeve,floral,,Terre Bleue,images\511069_01_11-423-476-400-b-64f5cbfd676d7.jpg
50559403020101,casual,,skinny-bottoms,,bleached,,BRAX,images\505594_03_64a8780729d5180011733c45.jpg
50145801020101,casual,regular-fit-tops,,straight-sleeve,,buttons,CKS,images\501458_01_mickeydo-blouse-lange-mouwen.jpg
50424801020101,casual,regular-fit-tops,,,plain; vertical-stripes,,Tommy Hilfiger,images\504248_01_WW0WW37873_C19.png
47949901020101,casual,regular-fit-tops,,,animals; text-print,embroidered,Fabienne Chapot,images\479499_01_60f1cce574478900112bc780.jpg
48613802030101,casual,regular-fit-tops,,,plain,,River Woods,images\486138_02_rl22s-c5104_a-000_sang_f.jpg
51263001040101,casual,regular-fit-tops,,straight-sleeve,vertical-stripes,buttons,Caroline Biss,images\512630_01_01-16b.jpg
49590202050101,feminine,,,straight-sleeve,plain,,Vera Mont,images\495902_02_6348dfcd0e4c92001150c481.jpg
48882901050101,casual,,wide-bottoms,,plain,,Mayerline,images\488829_01_mayerline-kostuumbroek-in-jacquard_W2022CANBER6043032-1.jpg
44572004040101,casual,,,puff-sleeve,stripes,,Caroline Biss,images\445720_04_03-16.jpg
50367601020101,casual,,,,damask; leaf,,Mexx,images\503676_01_CF1720033W_193911_2.jpg
50779801050101,business,regular-fit-tops,,straight-sleeve,plain,buttons,GERRY WEBER,images\507798_01_6449fc1c27e88600115f25f0.jpg
50255901030101,casual,regular-fit-tops,,,plain,,Xandres,images\502559_01_60988-01-0250_01.jpg
51019801030101,casual,oversized-tops,,dolman-sleeve,marled,,Joseph Ribkoff,images\510198_01_234915-273-2-WEB.jpg
50212901080101,casual,regular-fit-tops,,,floral; leaf,,Frapp,images\502129_01_63c66178963635001153a804.jpg
51620401080101,casual,,straight-fit-bottoms,,glitter,,Doris Streich,images\516204_01_6451df75cfdb6c001141d0a2.jpg
48739201060101,casual,oversized-tops,,straight-sleeve,plain,,Joseph Ribkoff,images\487392_01_61eda6bd6f62820011499589.jpg
48726801050101,casual,regular-fit-tops,,,abstract; natural; text-print,,GERRY WEBER,images\487268_01_618d1c7a3b032800118b260d.jpg
50575001030101,casual,,straight-fit-bottoms,,plain,,Second Female,images\505750_01_57642-7002_15.jpg
49836801040101,casual,,,,abstract; brush-stroke,,Gigue,images\498368_01_21-223-TOUMA2-317_B.jpg
51265801040101,casual,regular-fit-tops,wide-bottoms,straight-sleeve,geometric; shapes,,Caroline Biss,images\512658_01_02-16b.jpg
48284001020101,casual,,,,floral; leaf,,Second Female,images\482840_01_55984-7032_11_700x.jpg
51298802050101,casual,oversized-tops,,straight-sleeve,bird's-eye,,Betty Barclay,images\512988_02_6465153dfbbcd700108ade9a.jpg
49606201040101,casual,,flare-bottoms,,,,ESPRIT,images\496062_01_6306d91da2f691001079378b.jpg
51097301040101,casual,regular-fit-tops,,straight-sleeve,plain,,Terre Bleue,images\510973_01_11-555-025-001-b-64f5cc3a63a2e.jpg
49081601040101,casual,regular-fit-tops,,dolman-sleeve,abstract; chevron,,Terre Bleue,images\490816_01_139662_01_Terre-Bleue_W-Apropos-damesboetiek_20_11-422-026-879_B-.jpg
49768801050101,casual,fitted-tops,,straight-sleeve,marled; plain,,GERRY WEBER EDITION,images\497688_01_6363188870d1cd001199ec20.jpg
48128201040101,casual,regular-fit-tops,,flutter-sleeve,floral,bib,Liu Jo Denim,images\481282_01_8050885941426---WA2091T5191S9509-I-AF-N-R-01-N.jpg
50246201030101,feminine,,straight-fit-bottoms,,gingham; graph-check,,Xandres,images\502462_01_14123-01-2386_01.jpg
51160502020101,casual,regular-fit-tops,,,plain,,Scotch & Soda,images\511605_02_Hires-23163581-FNT.jpg
50577101030101,casual,oversized-tops,,,plain,,Xandres,images\505771_01_61001-01-9840_01.jpg
49911501410101,feminine,,,straight-sleeve,paisley,,Yoek,images\499115_01_1627786-201-MC.jpg
49281301040101,feminine,,flare-bottoms,,,,Due Amanti,images\492813_01_437726-1.jpg
49771601050101,casual,,oversized-bottoms,,animal-print,drawstring,GERRY WEBER EDITION,images\497716_01_63801bee741f4a001105d466.jpg
50441301050101,casual,regular-fit-tops,,straight-sleeve,animals; leaf; natural,,LeComte,images\504413_01_62fa0f8205394300121e1c7e.jpg
47797001040101,feminine,,,,plain,pleated,Betty Barclay,images\477970_01_616eec9f9b0de50011bf302a.jpg
48245301040101,business,regular-fit-tops,,straight-sleeve,plain,,Dame Blanche,images\482453_01_SR20211017DBSS22-10.jpg
50547901050101,business,regular-fit-tops,,straight-sleeve,marled,cargo,Betty Barclay,images\505479_01_64651594287eb20011aada8e.jpg
48037701040101,casual,oversized-tops,,straight-sleeve,net,,Gigue,images\480377_01_21-222-EKLA-331_B.jpg
48173601040101,casual,regular-fit-tops,,straight-sleeve,text-print,,Street One,images\481736_01_61f2bb1ebb2f87001486f5c6.jpg
50090901020101,casual,,straight-fit-bottoms,,bleached,,BRAX,images\500909_01_63d859eac911e10011dc2371.jpg
50217801040101,feminine,,,straight-sleeve,shapes,belted,Fabienne Chapot,images\502178_01_62c48047342f100011c58cc7.jpg
43584019030101,casual,,slim-bottoms,,plain,,TONI,images\435840_19_63d0ef27cf6282001191a2b7.jpg
49739401050101,casual,,straight-fit-bottoms,,plain,,Mayerline,images\497394_01_mayerline-easy-care-broek-op-elastiek_S2023X-CADOX7000262-1.jpg
49774001050101,feminine,,,,geometric,,GERRY WEBER,images\497740_01_643de7ac08803200116543bb.jpg
48347701050101,casual,oversized-tops,,straight-sleeve,horizontal-stripes,,Xandres Gold,images\483477_01_90014-01-0046_01.jpg
50982701410101,casual,,straight-fit-bottoms,,plain,,Yoek,images\509827_01_1905543-210-MF.jpg
48522501030101,casual,regular-fit-tops,,,text-print,,King Louie,images\485225_01_6398_06906001_1.jpg
48808802050101,casual,,slim-bottoms,,bleached,ripped,Rabe,images\488088_02_63106ca7a9139c00129bee4a.jpg
47965901030101,casual,regular-fit-tops,,,plain,keyhole,Joseph Ribkoff,images\479659_01_61eda7f090cff100106c481f.jpg
49126401030101,feminine,oversized-tops,wide-bottoms,puff-sleeve,paisley,,Nümph,images\491264_01_6299f942d8a6920011cb1b79.jpg
50196703050101,casual,,straight-fit-bottoms,,plain,,Bianca,images\501967_03_63a4c14ae9ffc30011308a35.jpg
48935101020101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,Nümph,images\489351_01_626a68bfba737d00110335d2.jpg
49229001030101,casual,oversized-tops,,puff-sleeve,animals; shapes,embroidered,Fabienne Chapot,images\492290_01_61ddc714a45e8f0017e9c595.jpg
49349902030101,casual,regular-fit-tops,,straight-sleeve,animals; shapes; text-print,,River Woods,images\493499_02_rl22w-c5000_f-002b_ow_f.jpg
50601201050101,casual,fitted-tops,,flare-sleeve,stripes,,Mayerline,images\506012_01_sunsetcurcuma-look12.jpg
49738001050101,feminine,regular-fit-tops,,,leaf,,Mayerline,images\497380_01_mayerline-t-shirtblouse-met-satijnen-front_S2023JADIE-V7814020-V.jpg
50058501040101,feminine,,,,plain,pleated,Marc Cain Sports,images\500585_01_63f2432062244200108ecce5.jpg
49771901050101,casual,regular-fit-tops,,,glitter,,GERRY WEBER,images\497719_01_63c8d775a9fbec0011f262c6.jpg
50338501040101,casual,,,dolman-sleeve,,,Caroline Biss,images\503385_01_03-14d.jpg
50144901040101,feminine,,flare-bottoms,,,,CKS,images\501449_01_shop-the-look.jpg
48355401050101,feminine,,,,diagonal-stripes; stripes,wrap,Xandres Gold,images\483554_01_90009-01-7706_01.jpg
48739901290101,casual,oversized-tops,,straight-sleeve,floral; leaf,,Joseph Ribkoff,images\487399_01_61eda76bcf654000117035e4.jpg
49716501030101,casual,,,straight-sleeve,floral; leaf,,Xandres,images\497165_01_60844-01-1625_01.jpg
47758302050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,GERRY WEBER CASUAL,images\477583_02_6181defc0c0b3e0012c2d9db.jpg
49631101040101,casual,regular-fit-tops,,straight-sleeve,plain,buttons,Street One,images\496311_01_63652a7d40359e00127eca8e.jpg
50889101080101,casual,oversized-tops,,straight-sleeve,plain,buttons,Frapp,images\508891_01_64785bfa9ccc880011b51e47.jpg
50821601080101,casual,,,,abstract,pleated,Accent,images\508216_01_ACCENT_FW23_lookbook_031.jpg
48612601030101,feminine,,,,vertical-stripes,slit,River Woods,images\486126_01_rl22s-c3005_a-000_s20009_f.jpg
47962601030101,casual,,oversized-bottoms,,marled,drawstring,Joseph Ribkoff,images\479626_01_61eda8bb90cff100106c4854.jpg
49848701020101,casual,,straight-fit-bottoms,,plain,,Part Two,images\498487_01_5927ba37-0eac-4150-a8c8-43b9940502a8.jpg
48726901050101,casual,regular-fit-tops,,,brush-stroke,,GERRY WEBER,images\487269_01_622a9569ae05b60011a21270.jpg
50121202020101,casual,,wide-bottoms,,vertical-stripes,,Liu Jo Sport,images\501212_02_8057590973148---TA3073J657951315-I-AF-N-R-1-N.jpg
49909601410101,feminine,,,straight-sleeve,plain,buttons; pleated,Yoek,images\499096_01_147762-243-MC_22.jpg
48257301080101,casual,,slim-bottoms,,leaf; natural,,Doris Streich,images\482573_01_6273ca8e30408b0012cda8f4.jpg
50889001080101,casual,,slim-bottoms,,plain,,Frapp,images\508890_01_64785c08be819a0010a659e2.jpg
50058801040101,casual,regular-fit-tops,,straight-sleeve,plain,,Marc Cain Sports,images\500588_01_63f2437174b81000118f1ae5.jpg
49615901040101,feminine,,,straight-sleeve,chevron,pleated,Street One,images\496159_01_632c79a7e2e84d0010943852.jpg
51268601040101,casual,,flare-bottoms,,plain,,Caroline Biss,images\512686_01_4545-10.jpg
49667901050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,buttons,Rabe,images\496679_01_62fa107832a85a0011ad5caa.jpg
51161701030101,feminine,,,straight-sleeve,stripes; vertical-stripes,pleated,Scotch & Soda,images\511617_01_Hires-23163674-FNT.jpg
47961201020101,casual,regular-fit-tops,,straight-sleeve,bleached,buttons; cargo,Joseph Ribkoff,images\479612_01_211905p-1-WEB.jpg
50062301040101,casual,regular-fit-tops,,puff-sleeve,plain,keyhole,Marc Cain,images\500623_01_637b97bec708490011eb1b15.jpg
49527402080101,casual,oversized-tops,,straight-sleeve,marled,embroidered,Frapp,images\495274_02_62975eab11e4f5001162c1e5.jpg
49526901080101,business,oversized-tops,,puff-sleeve,,buttons,Frapp,images\495269_01_62de7933c77d8100110f338e.jpg
50289001040101,feminine,,,flare-sleeve,animals; floral; fruits; leaf,,Nenette,images\502890_01_Schermafbeelding-2023-02-14-162736.jpg
48892801110101,feminine,,,straight-sleeve,floral; leaf,,Joseph Ribkoff,images\488928_01_223190-178-2-WEB.jpg
50094504040101,casual,regular-fit-tops,,straight-sleeve,varsity-striped,buttons,BRAX,images\500945_04_63ef90997b95a800109d3465.jpg
49459302040101,sophisticated,,,straight-sleeve,plain,,FAM the label,images\494593_02_AVALI_green2.jpg
49772501050101,casual,,straight-fit-bottoms,,plain,belted,GERRY WEBER,images\497725_01_63bcdee293d88e00114ed6dc.jpg
50868501020101,feminine,,,puff-sleeve,plain; vertical-stripes,,Pepe Jeans,images\508685_01_PL953361_323_02_MO.jpg
49400901230101,casual,,oversized-bottoms,,plain,,Joseph Ribkoff,images\494009_01_153088R-11-5-WEB.jpg
48339401020101,casual,bodycon-tops,,straight-sleeve,vertical-stripes,,Xandres,images\483394_01_28451-01-1841_01.jpg
48040901050101,feminine,,,straight-sleeve,brocade; floral; leaf,,Gigue,images\480409_01_21-222-KIDY1-207_B.jpg
49827602030101,casual,oversized-tops,,straight-sleeve,abstract,,Scotch & Soda,images\498276_02_63a077e7b64d820011fb6125.jpg
48408701040101,casual,,,flutter-sleeve,plain,belted,Caroline Biss,images\484087_01_03-01b.jpg
48357401080101,casual,,straight-fit-bottoms,,vertical-stripes,,Xandres Gold,images\483574_01_81885-01-1310_01.jpg
48312701020101,casual,,,flutter-sleeve,,,CKS,images\483127_01_124564GNF_10_l_model.jpg
49059901020101,casual,regular-fit-tops,,straight-sleeve,marled,buttons,ONLY,images\490599_01_6201812aa34822001186ed1a.jpg
